"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"LSD - 20kms","Run","Correr 20kms em LSD","","20000","2025-10-06","","20012.6796875","","","","","1.91783165931702","2.8989999294281","","156","","160","173","","","0.883721920470175","168.69","1","1","1","59","32","22","0","","","","","","","","","","","","","","3","3"
"Swim - VO2 - wetsuit","Swim","400snorkel + 100 estilos + 100 pernas 2X150L - 50 braço direito , 50 braço esquerdo, 50 normal 10X100L 25 mãximo 25 Zona2 25 máximo 25 zona 2 - descanso 15"" 200 easy 8X50L 25 MARIPOSA 25 crawl - com barbatanas 200 easy","0.833333333333333","2400","2025-10-07","","1025","","","","","0.288698889414469","0.981800766283525","","24","","134","152","","","0.887602998819007","20.19","6","7","4","1","0","0","0","","","","","","","","","","","","","","",""
"Bike tempo - 4x5'","Bike","20' aquecimento easy 4x5min Zn3 - recuperação 2' easy 12' cooldwon","1","","2025-10-08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Strength","Strength","","","","2025-10-08","","0","","","","","0.66733330488205","0","","","","77","100","","","0.534507081372906","20.91","40","0","0","0","0","0","0","","","","","","","","","","","","","","",""
"40' Run @Zn2 + 6 retas","Run","Corrida em Zn2, piso soft e cadência +88 Pulso @140 No final fazer 6 retas progressivas de 20""","0.666666666666667","","2025-10-09","","7014.6201171875","","","","","0.672197461128235","2.8989999294281","","158","","151","175","","","0.882251189996778","57.51","2","2","9","24","2","1","1","","","","","","","","","","","","","","",""
"Swim Endurance","Swim","400 snorkel 200 fins (snorkel opcional) - aumento da cadência de braçada 8x50 (25 crawl FAST + 25 corrida) NON STOP 2000 Zn2 - palas (snorkel opcional) 200 easy","1","3000","2025-10-10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sweet Spot","Bike","Warm up 15' 5' @ 100% 5' Easy 2x20' @ Sweet Spot 1 (15' Intervalo) 10x1' @ Sweet Spot 2 (+105 rpm) 2' Intervalo 15' Cooldown","2.25","","2025-10-11","","67927.7578125","","","","","2.43566107749939","7.74700021743774","","","","150","182","","","0.843939282180601","196.56","18","23","20","47","15","9","14","","","","","","","","","","","","","","5","5"
"Transição - 8kms a race pace","Run","Transição 1km - W-up 8kms - race pace 1km - easy","0.842222222222222","","2025-10-11","","5013.3798828125","","","","","0.45469331741333","3.06299996376038","","159","","158","175","","","0.935333917176195","43.21","1","2","2","6","8","6","2","","","","","","","","","","","","","","6","7"
"Base Builder (Power)","Bike","Ride on a flat to gently rolling course. Get at least 50% of ride time in power zone 2. Avoid 3-5 zones. Keep the 2-zone effort steady and continuous. After the ride confirm that you got at least 50% of the ride in zone 2.","1.5","","2025-10-12","","41551.578125","","","","","1.5314416885376","7.53700017929077","","","","133","161","","","0.682658925433035","79.9","36","39","13","4","0","0","0","","","","","","","","","","","","","","1","3"
"Open Water Swimming","Swim","","","","2025-10-12","","1503.13000488281","","","","","0.517042756080627","0.808000028133392","","26","","122","134","","","0.726791927362587","19.85","30","1","0","0","0","0","0","","","","","","","","","","","","","","",""
"30' Run - Zn2","Run","Corrida em Zn2 com piso soft Pulso @140","0.5","","2025-10-13","","5010.02001953125","","","","","0.518632769584656","2.68300008773804","","156","","147","159","","","0.818886990529113","38","1","6","18","6","0","0","0","","","","","","","","","","","","","","","1"
"Swim#3","Swim","400 Snorkel 4x50 progressivo @1'20 4x50 Zn5 @ 2' 4x50 pull easy 2x100 Zn4 @ 2'30 4x50 pull easy 200 Zn3 4x50 pernas com barbatanas @45"" 200 cooldown","0.666666666666667","2000","2025-10-14","","1800","","","","","0.549349723921882","0.907715582450832","","25","","131","153","","","0.819150316099896","30.2","14","13","6","0","0","0","0","","","","","","","","","","","","","","9","1"
